Architecture    Offer         Publisher    Sku                    Urn                                                           Version
--------------  ------------  -----------  ---------------------  ------------------------------------------------------------  ---------------
x64             UbuntuServer  Canonical    12.04.3-LTS            Canonical:UbuntuServer:12.04.3-LTS:12.04.201401270            12.04.201401270
x64             UbuntuServer  Canonical    12.04.5-LTS            Canonical:UbuntuServer:12.04.5-LTS:12.04.201409092            12.04.201409092
x64             UbuntuServer  Canonical    12.04.5-LTS            Canonical:UbuntuServer:12.04.5-LTS:12.04.201606270            12.04.201606270
x64             UbuntuServer  Canonical    12.04.5-LTS            Canonical:UbuntuServer:12.04.5-LTS:12.04.201608010            12.04.201608010
x64             UbuntuServer  Canonical    12.04.5-LTS            Canonical:UbuntuServer:12.04.5-LTS:12.04.201608080            12.04.201608080
x64             UbuntuServer  Canonical    12.04.5-LTS            Canonical:UbuntuServer:12.04.5-LTS:12.04.201608290            12.04.201608290
x64             UbuntuServer  Canonical    12.04.5-LTS            Canonical:UbuntuServer:12.04.5-LTS:12.04.201609190            12.04.201609190
x64             UbuntuServer  Canonical    12.04.5-LTS            Canonical:UbuntuServer:12.04.5-LTS:12.04.201610100            12.04.201610100
x64             UbuntuServer  Canonical    12.04.5-LTS            Canonical:UbuntuServer:12.04.5-LTS:12.04.201610201            12.04.201610201
x64             UbuntuServer  Canonical    12.04.5-LTS            Canonical:UbuntuServer:12.04.5-LTS:12.04.201611090            12.04.201611090
x64             UbuntuServer  Canonical    12.04.5-LTS            Canonical:UbuntuServer:12.04.5-LTS:12.04.201611300            12.04.201611300
x64             UbuntuServer  Canonical    12.04.5-LTS            Canonical:UbuntuServer:12.04.5-LTS:12.04.201612050            12.04.201612050
x64             UbuntuServer  Canonical    12.04.5-LTS            Canonical:UbuntuServer:12.04.5-LTS:12.04.201701040            12.04.201701040
x64             UbuntuServer  Canonical    12.04.5-LTS            Canonical:UbuntuServer:12.04.5-LTS:12.04.201701100            12.04.201701100
x64             UbuntuServer  Canonical    12.04.5-LTS            Canonical:UbuntuServer:12.04.5-LTS:12.04.201702020            12.04.201702020
x64             UbuntuServer  Canonical    12.04.5-LTS            Canonical:UbuntuServer:12.04.5-LTS:12.04.201702200            12.04.201702200
x64             UbuntuServer  Canonical    12.04.5-LTS            Canonical:UbuntuServer:12.04.5-LTS:12.04.201702210            12.04.201702210
x64             UbuntuServer  Canonical    12.04.5-LTS            Canonical:UbuntuServer:12.04.5-LTS:12.04.201703070            12.04.201703070
x64             UbuntuServer  Canonical    12.04.5-LTS            Canonical:UbuntuServer:12.04.5-LTS:12.04.201703300            12.04.201703300
x64             UbuntuServer  Canonical    12.04.5-LTS            Canonical:UbuntuServer:12.04.5-LTS:12.04.201704170            12.04.201704170
x64             UbuntuServer  Canonical    12.04.5-LTS            Canonical:UbuntuServer:12.04.5-LTS:12.04.201704270            12.04.201704270
x64             UbuntuServer  Canonical    12.04.5-LTS            Canonical:UbuntuServer:12.04.5-LTS:12.04.201705020            12.04.201705020
x64             UbuntuServer  Canonical    14.04.0-LTS            Canonical:UbuntuServer:14.04.0-LTS:14.04.201808140            14.04.201808140
x64             UbuntuServer  Canonical    14.04.0-LTS            Canonical:UbuntuServer:14.04.0-LTS:14.04.201808180            14.04.201808180
x64             UbuntuServer  Canonical    14.04.0-LTS            Canonical:UbuntuServer:14.04.0-LTS:14.04.201901221            14.04.201901221
x64             UbuntuServer  Canonical    14.04.0-LTS            Canonical:UbuntuServer:14.04.0-LTS:14.04.201903120            14.04.201903120
x64             UbuntuServer  Canonical    14.04.0-LTS            Canonical:UbuntuServer:14.04.0-LTS:14.04.201903150            14.04.201903150
x64             UbuntuServer  Canonical    14.04.0-LTS            Canonical:UbuntuServer:14.04.0-LTS:14.04.201905140            14.04.201905140
x64             UbuntuServer  Canonical    14.04.0-LTS            Canonical:UbuntuServer:14.04.0-LTS:14.04.201911070            14.04.201911070
x64             UbuntuServer  Canonical    14.04.1-LTS            Canonical:UbuntuServer:14.04.1-LTS:14.04.201409240            14.04.201409240
x64             UbuntuServer  Canonical    14.04.1-LTS            Canonical:UbuntuServer:14.04.1-LTS:14.04.201808140            14.04.201808140
x64             UbuntuServer  Canonical    14.04.1-LTS            Canonical:UbuntuServer:14.04.1-LTS:14.04.201808180            14.04.201808180
x64             UbuntuServer  Canonical    14.04.1-LTS            Canonical:UbuntuServer:14.04.1-LTS:14.04.201901221            14.04.201901221
x64             UbuntuServer  Canonical    14.04.1-LTS            Canonical:UbuntuServer:14.04.1-LTS:14.04.201903150            14.04.201903150
x64             UbuntuServer  Canonical    14.04.1-LTS            Canonical:UbuntuServer:14.04.1-LTS:14.04.201905140            14.04.201905140
x64             UbuntuServer  Canonical    14.04.1-LTS            Canonical:UbuntuServer:14.04.1-LTS:14.04.201911070            14.04.201911070
x64             UbuntuServer  Canonical    14.04.2-LTS            Canonical:UbuntuServer:14.04.2-LTS:14.04.201805220            14.04.201805220
x64             UbuntuServer  Canonical    14.04.2-LTS            Canonical:UbuntuServer:14.04.2-LTS:14.04.201808180            14.04.201808180
x64             UbuntuServer  Canonical    14.04.2-LTS            Canonical:UbuntuServer:14.04.2-LTS:14.04.201901221            14.04.201901221
x64             UbuntuServer  Canonical    14.04.2-LTS            Canonical:UbuntuServer:14.04.2-LTS:14.04.201903150            14.04.201903150
x64             UbuntuServer  Canonical    14.04.2-LTS            Canonical:UbuntuServer:14.04.2-LTS:14.04.201905140            14.04.201905140
x64             UbuntuServer  Canonical    14.04.2-LTS            Canonical:UbuntuServer:14.04.2-LTS:14.04.201911070            14.04.201911070
x64             UbuntuServer  Canonical    14.04.3-LTS            Canonical:UbuntuServer:14.04.3-LTS:14.04.201805220            14.04.201805220
x64             UbuntuServer  Canonical    14.04.3-LTS            Canonical:UbuntuServer:14.04.3-LTS:14.04.201808180            14.04.201808180
x64             UbuntuServer  Canonical    14.04.3-LTS            Canonical:UbuntuServer:14.04.3-LTS:14.04.201901221            14.04.201901221
x64             UbuntuServer  Canonical    14.04.3-LTS            Canonical:UbuntuServer:14.04.3-LTS:14.04.201903150            14.04.201903150
x64             UbuntuServer  Canonical    14.04.3-LTS            Canonical:UbuntuServer:14.04.3-LTS:14.04.201905140            14.04.201905140
x64             UbuntuServer  Canonical    14.04.3-LTS            Canonical:UbuntuServer:14.04.3-LTS:14.04.201911070            14.04.201911070
x64             UbuntuServer  Canonical    14.04.4-LTS            Canonical:UbuntuServer:14.04.4-LTS:14.04.201805090            14.04.201805090
x64             UbuntuServer  Canonical    14.04.4-LTS            Canonical:UbuntuServer:14.04.4-LTS:14.04.201805220            14.04.201805220
x64             UbuntuServer  Canonical    14.04.4-LTS            Canonical:UbuntuServer:14.04.4-LTS:14.04.201808140            14.04.201808140
x64             UbuntuServer  Canonical    14.04.4-LTS            Canonical:UbuntuServer:14.04.4-LTS:14.04.201808180            14.04.201808180
x64             UbuntuServer  Canonical    14.04.4-LTS            Canonical:UbuntuServer:14.04.4-LTS:14.04.201901221            14.04.201901221
x64             UbuntuServer  Canonical    14.04.4-LTS            Canonical:UbuntuServer:14.04.4-LTS:14.04.201903120            14.04.201903120
x64             UbuntuServer  Canonical    14.04.4-LTS            Canonical:UbuntuServer:14.04.4-LTS:14.04.201903150            14.04.201903150
x64             UbuntuServer  Canonical    14.04.4-LTS            Canonical:UbuntuServer:14.04.4-LTS:14.04.201905140            14.04.201905140
x64             UbuntuServer  Canonical    14.04.4-LTS            Canonical:UbuntuServer:14.04.4-LTS:14.04.201911070            14.04.201911070
x64             UbuntuServer  Canonical    14.04.5-DAILY-LTS      Canonical:UbuntuServer:14.04.5-DAILY-LTS:14.04.201904030      14.04.201904030
x64             UbuntuServer  Canonical    14.04.5-DAILY-LTS      Canonical:UbuntuServer:14.04.5-DAILY-LTS:14.04.201904080      14.04.201904080
x64             UbuntuServer  Canonical    14.04.5-DAILY-LTS      Canonical:UbuntuServer:14.04.5-DAILY-LTS:14.04.201904090      14.04.201904090
x64             UbuntuServer  Canonical    14.04.5-DAILY-LTS      Canonical:UbuntuServer:14.04.5-DAILY-LTS:14.04.201904200      14.04.201904200
x64             UbuntuServer  Canonical    14.04.5-DAILY-LTS      Canonical:UbuntuServer:14.04.5-DAILY-LTS:14.04.201904240      14.04.201904240
x64             UbuntuServer  Canonical    14.04.5-DAILY-LTS      Canonical:UbuntuServer:14.04.5-DAILY-LTS:14.04.201904250      14.04.201904250
x64             UbuntuServer  Canonical    14.04.5-DAILY-LTS      Canonical:UbuntuServer:14.04.5-DAILY-LTS:14.04.201904290      14.04.201904290
x64             UbuntuServer  Canonical    14.04.5-DAILY-LTS      Canonical:UbuntuServer:14.04.5-DAILY-LTS:14.04.201905140      14.04.201905140
x64             UbuntuServer  Canonical    14.04.5-DAILY-LTS      Canonical:UbuntuServer:14.04.5-DAILY-LTS:14.04.201911070      14.04.201911070
x64             UbuntuServer  Canonical    14.04.5-LTS            Canonical:UbuntuServer:14.04.5-LTS:14.04.201608091            14.04.201608091
x64             UbuntuServer  Canonical    14.04.5-LTS            Canonical:UbuntuServer:14.04.5-LTS:14.04.201608241            14.04.201608241
x64             UbuntuServer  Canonical    14.04.5-LTS            Canonical:UbuntuServer:14.04.5-LTS:14.04.201608300            14.04.201608300
x64             UbuntuServer  Canonical    14.04.5-LTS            Canonical:UbuntuServer:14.04.5-LTS:14.04.201609190            14.04.201609190
x64             UbuntuServer  Canonical    14.04.5-LTS            Canonical:UbuntuServer:14.04.5-LTS:14.04.201610100            14.04.201610100
x64             UbuntuServer  Canonical    14.04.5-LTS            Canonical:UbuntuServer:14.04.5-LTS:14.04.201610200            14.04.201610200
x64             UbuntuServer  Canonical    14.04.5-LTS            Canonical:UbuntuServer:14.04.5-LTS:14.04.201611090            14.04.201611090
x64             UbuntuServer  Canonical    14.04.5-LTS            Canonical:UbuntuServer:14.04.5-LTS:14.04.201611300            14.04.201611300
x64             UbuntuServer  Canonical    14.04.5-LTS            Canonical:UbuntuServer:14.04.5-LTS:14.04.201612050            14.04.201612050
x64             UbuntuServer  Canonical    14.04.5-LTS            Canonical:UbuntuServer:14.04.5-LTS:14.04.201612130            14.04.201612130
x64             UbuntuServer  Canonical    14.04.5-LTS            Canonical:UbuntuServer:14.04.5-LTS:14.04.201701040            14.04.201701040
x64             UbuntuServer  Canonical    14.04.5-LTS            Canonical:UbuntuServer:14.04.5-LTS:14.04.201701100            14.04.201701100
